simulation,location,sample_fraction,effective_surveillance_coverage_percent
27,North,Total,85.38602270243312
27,North,Solids,31.46524193039233
27,North,Liquid,54.550563425821586
27,South,Total,91.26976776640373
27,South,Solids,36.681381481459894
27,South,Liquid,54.898326042470615
27,West,Total,88.17496392543767
27,West,Solids,34.008919225097934
27,West,Liquid,54.63573567020188
28,North,Total,76.67774688768002
28,North,Solids,30.579389005964813
28,North,Liquid,53.44869112379893
28,South,Total,86.59373990188756
28,South,Solids,35.958750175510275
28,South,Liquid,54.02503730652568
28,West,Total,81.42000098477192
28,West,Solids,33.148751650120886
28,West,Liquid,53.738905562107064
29,North,Total,79.91335593397095
29,North,Solids,34.09376939535268
29,North,Liquid,49.772916308047954
29,South,Total,88.4167211332243
29,South,Solids,40.02768204664749
29,South,Liquid,50.23015838710345
29,West,Total,84.01776375665494
29,West,Solids,36.949099458447996
29,West,Liquid,50.01219545438103
30,North,Total,78.53428109654133
30,North,Solids,35.82564882771479
30,North,Liquid,44.9973606935062
30,South,Total,86.73146543100846
30,South,Solids,41.371989717495396
30,South,Liquid,45.973865153238386
30,West,Total,82.73013099966136
30,West,Solids,38.524753355346476
30,West,Liquid,45.785168845223176
31,North,Total,78.35820085852421
31,North,Solids,31.001555881378156
31,North,Liquid,50.861277166634764
31,South,Total,87.02364157893074
31,South,Solids,36.82289521268743
31,South,Liquid,51.64644127073795
31,West,Total,82.7817357181099
31,West,Solids,33.87430678400508
31,West,Liquid,51.46215541879117
32,North,Total,76.13969152922208
32,North,Solids,31.228635102431255
32,North,Liquid,45.440734816793274
32,South,Total,83.72024314526452
32,South,Solids,36.5562763042258
32,South,Liquid,47.023061287428376
32,West,Total,80.3665954465186
32,West,Solids,33.77431037567056
32,West,Liquid,46.88661783081018
33,North,Total,84.48464015826431
33,North,Solids,26.39645221124881
33,North,Liquid,59.20354439750023
33,South,Total,89.88974916825858
33,South,Solids,30.476447262876334
33,South,Liquid,59.927021086843155
33,West,Total,87.07701263540095
33,West,Solids,28.30253712834648
33,West,Liquid,59.61555883638739
34,North,Total,75.32492240003162
34,North,Solids,38.68237840922698
34,North,Liquid,37.25706585714859
34,South,Total,83.87961267952443
34,South,Solids,44.90706675827628
34,South,Liquid,38.62757480439995
34,West,Total,79.95305307522842
34,West,Solids,41.66019339143915
34,West,Liquid,38.60733814700395
35,North,Total,80.76330634229596
35,North,Solids,44.758495550060815
35,North,Liquid,36.76090290458497
35,South,Total,88.88326654170731
35,South,Solids,52.256567184219804
35,South,Liquid,37.000920247449685
35,West,Total,84.6436159751078
35,West,Solids,48.41206170604551
35,West,Liquid,36.79440214917554
36,North,Total,78.66823031422102
36,North,Solids,45.39314594413795
36,North,Liquid,33.0083516542238
36,South,Total,86.88995351449336
36,South,Solids,53.206142130514614
36,South,Liquid,33.57922362532077
36,West,Total,82.7954138495103
36,West,Solids,49.153802848968795
36,West,Liquid,33.446281998291774
37,North,Total,85.51676405429218
37,North,Solids,41.9231366650744
37,North,Liquid,39.826585138799366
37,South,Total,90.9076712885894
37,South,Solids,48.98242830097361
37,South,Liquid,40.22794155463582
37,West,Total,88.07642466981449
37,West,Solids,45.28413362684328
37,West,Liquid,40.01277418439376
38,North,Total,81.94932815193961
38,North,Solids,33.34845717723985
38,North,Liquid,51.30816369350797
38,South,Total,89.37889319257023
38,South,Solids,39.004591504228046
38,South,Liquid,51.69396398056719
38,West,Total,85.36672122172003
38,West,Solids,35.996797196388194
38,West,Liquid,51.40999276741552
39,North,Total,79.5844217252251
